Texto,Ubicación,Contexto
"¡Bienvenido de vuelta!",lib/features/auth/screens/login_screen.dart,Título pantalla login
"Inicia sesión para continuar tu aventura nómada",lib/features/auth/screens/login_screen.dart,Subtítulo pantalla login
"Iniciar Sesión",lib/features/auth/screens/login_screen.dart,Título formulario
"tu@email.com",lib/features/auth/screens/login_screen.dart,Placeholder campo email
"Ingresa tu email",lib/features/auth/screens/login_screen.dart,Error validación email
"Email inválido",lib/features/auth/screens/login_screen.dart,Error validación email formato
"Tu contraseña",lib/features/auth/screens/login_screen.dart,Placeholder campo contraseña
"Ingresa tu contraseña",lib/features/auth/screens/login_screen.dart,Error validación contraseña
"La contraseña debe tener al menos 6 caracteres",lib/features/auth/screens/login_screen.dart,Error validación contraseña longitud
"Iniciar Sesión",lib/features/auth/screens/login_screen.dart,Botón de inicio de sesión
"¿No tienes cuenta? ",lib/features/auth/screens/login_screen.dart,Texto enlace registro
"Regístrate aquí",lib/features/auth/screens/login_screen.dart,Enlace a registro
"¿Olvidaste tu contraseña?",lib/features/auth/screens/login_screen.dart,Enlace recuperar contraseña
"Ingresa tu email primero",lib/features/auth/screens/login_screen.dart,Error al recuperar contraseña
"Revisa tu email para restablecer la contraseña",lib/features/auth/screens/login_screen.dart,Mensaje éxito recuperar contraseña
"Crear Cuenta",lib/features/auth/screens/signup_screen.dart,Título AppBar
"Únete a ReNomada",lib/features/auth/screens/signup_screen.dart,Título pantalla registro
"Comienza a intercambiar objetos con otros nómadas y forma parte de una comunidad sostenible",lib/features/auth/screens/signup_screen.dart,Subtítulo registro
"Información de Cuenta",lib/features/auth/screens/signup_screen.dart,Título sección formulario
"tu_usuario",lib/features/auth/screens/signup_screen.dart,Placeholder usuario
"Ingresa un nombre de usuario",lib/features/auth/screens/signup_screen.dart,Error validación usuario
"El nombre debe tener al menos 3 caracteres",lib/features/auth/screens/signup_screen.dart,Error validación usuario longitud
"Solo letras, números y guiones bajos",lib/features/auth/screens/signup_screen.dart,Error validación usuario caracteres
"tu@email.com",lib/features/auth/screens/signup_screen.dart,Placeholder email
"Ingresa tu email",lib/features/auth/screens/signup_screen.dart,Error validación email
"Email inválido",lib/features/auth/screens/signup_screen.dart,Error validación email formato
"Mínimo 6 caracteres",lib/features/auth/screens/signup_screen.dart,Placeholder contraseña
"Ingresa una contraseña",lib/features/auth/screens/signup_screen.dart,Error validación contraseña
"La contraseña debe tener al menos 6 caracteres",lib/features/auth/screens/signup_screen.dart,Error validación contraseña longitud
"Repite tu contraseña",lib/features/auth/screens/signup_screen.dart,Placeholder confirmar contraseña
"Confirma tu contraseña",lib/features/auth/screens/signup_screen.dart,Error validación confirmar contraseña
"Las contraseñas no coinciden",lib/features/auth/screens/signup_screen.dart,Error contraseñas no coinciden
"Acepto los ",lib/features/auth/screens/signup_screen.dart,Texto términos
"términos y condiciones",lib/features/auth/screens/signup_screen.dart,Enlace términos
" y la ",lib/features/auth/screens/signup_screen.dart,Texto conjunción
"política de privacidad",lib/features/auth/screens/signup_screen.dart,Enlace privacidad
"Crear Cuenta",lib/features/auth/screens/signup_screen.dart,Botón crear cuenta
"¿Ya tienes cuenta? ",lib/features/auth/screens/signup_screen.dart,Texto enlace login
"Inicia sesión",lib/features/auth/screens/signup_screen.dart,Enlace a login
"Debes aceptar los términos y condiciones",lib/features/auth/screens/signup_screen.dart,Error términos no aceptados
"¡Cuenta creada! Revisa tu email para confirmar",lib/features/auth/screens/signup_screen.dart,Mensaje éxito registro
"Inicio",lib/features/home/screens/home_screen.dart,Título pantalla inicio
"Perfil",lib/features/home/screens/home_screen.dart,Menú opción perfil
"Mis artículos",lib/features/home/screens/home_screen.dart,Menú opción artículos
"Mis chats",lib/features/home/screens/home_screen.dart,Menú opción chats
"Cerrar sesión",lib/features/home/screens/home_screen.dart,Menú opción cerrar sesión
"¡Hola, {username}!",lib/features/home/screens/home_screen.dart,Saludo usuario
"Bienvenido de vuelta",lib/features/home/screens/home_screen.dart,Mensaje bienvenida
"Comparte lo que ya no necesitas y encuentra tesoros cerca de ti. ¡Forma parte de una comunidad sostenible!",lib/features/home/screens/home_screen.dart,Descripción app
"Acciones Rápidas",lib/features/home/screens/home_screen.dart,Título sección acciones rápidas
"Mis Artículos",lib/features/home/screens/home_screen.dart,Acción rápida artículos
"Explorar",lib/features/home/screens/home_screen.dart,Acción rápida explorar
"Conversaciones",lib/features/home/screens/home_screen.dart,Acción rápida conversaciones
"Mi Perfil",lib/features/home/screens/home_screen.dart,Acción rápida perfil
"Ubicación para ReNomada",lib/features/profile/screens/location_permission_screen.dart,Título pantalla ubicación
"Para mostrarte artículos cerca de ti y conectar con nómadas locales, necesitamos acceso a tu ubicación.",lib/features/profile/screens/location_permission_screen.dart,Descripción permiso ubicación
"Tu privacidad es importante",lib/features/profile/screens/location_permission_screen.dart,Título privacidad
"📍 Ubicación aproximada",lib/features/profile/screens/location_permission_screen.dart,Punto privacidad 1
"Solo guardamos una ubicación redondeada (aproximadamente 50m de precisión)",lib/features/profile/screens/location_permission_screen.dart,Descripción privacidad 1
"🕒 Sin historial",lib/features/profile/screens/location_permission_screen.dart,Punto privacidad 2
"No guardamos un historial de tus ubicaciones, solo la última posición",lib/features/profile/screens/location_permission_screen.dart,Descripción privacidad 2
"🔒 Sin historial",lib/features/profile/screens/location_permission_screen.dart,Punto privacidad 3
"No guardamos historial de ubicaciones, solo la última posición",lib/features/profile/screens/location_permission_screen.dart,Descripción privacidad 3
"Permitir ubicación",lib/features/profile/screens/location_permission_screen.dart,Botón permitir ubicación
"Saltar por ahora",lib/features/profile/screens/location_permission_screen.dart,Botón saltar
"Ver detalles de privacidad",lib/features/profile/screens/location_permission_screen.dart,Botón ver privacidad
